　どこで	生れたか
所で	泣いて
吾輩は	見た
あとで	聞くと
我々を	捕えて
掌に	載せられて
上で	落ちついて
ものだと	思った
第一毛をもって	装飾されべきはずの
その後	逢ったが
真中が	突起している
中から	吹く
咽せぽくて	弱った
人間の	飲む
裏で	坐って
書生が	動くのか
胸が	悪くなる
音が	して
それまでは	記憶しているが
気が	付いて
たくさん	おった
母親さえ	隠してしまった
所とは	違って
眼を	明いていられぬくらいだ
吾輩は	棄てられたのである
思いで	這い出すと
吾輩は	見た
分別も	出ない
書生がまた	来てくれるかと
試みに	やって
上を	渡って
腹が	減って来た
声が	出ない
何でも	廻り始めた
そこを	我慢して
ここへ	這入ったら、
もので、	餓死したかも知れんのである
蔭とは	云った
穴は	なっている
邸へは	忍び込んだものの
うちに	暗くなる、
方へ	あるいて行く
今から	考えると
ここで	遭遇したのである
第一に	逢ったのが
これは	抛り出した
駄目だと	思ったから
寒いのには	出来ん
吾輩は	這い上った
吾輩は	這い上り、
時に	云う
偸んで	してやってから、
吾輩が	つまみ出されようとした
下女は	困りますと
主人は	おったが、
主人は	見えた
下女は	抛り出した
吾輩は	したのである
滅多に	合せる
学校から	帰ると
勉強家だと	思っている
ものが	いうような
吾輩は	見るが、
上に	たらしている
彼は	あらわしている
癖に	食う
大飯を	食った
後で	ひろげる
二三ページ	読むと
涎を	垂らす
これが	繰り返す
吾輩は	ある
人間と	生れたら
猫にでも	出来ぬ
主人に	云わせると
　吾輩が	住み込んだ
どこへ	行っても
珍重されなかったかは、	分る
限り	入れてくれた
朝主人が	読む
彼が	する
これは	やむを得んのである
その後	した
夜に	入って
小供というのは	寝る
吾輩は	割り込むのであるが、
小供は——	泣き出すのである
主人は	飛び出してくる
せんだってなどは	叩かれた
吾輩は	断言せざるを得ないようになった
吾輩が	同衾する
時は	押し込んだりする
方で	しようものなら
この間も	磨いだら
板の間で	顫えていても
吾輩の	尊敬する
白君は	産まれたのである
書生が	来たそうだ
白君は	いわれた
議論と	思う
三毛君などは	解していないと
同族間では	なっている
相手が	守らなければ
我等が	見付けた
彼等は	すましている
白君は	持っている
家に	住んでいるだけ、
その日	送られればよい
いつまでも	栄える
気を	待つが
　我儘で	思い出したから
何といって	勝れて
俳句を	やって
癖	やり出すと
中で	うたって、
みんなが	吹き出す
主人が	なった
何を	買って来たのかと
ものは	かいている
かき	上げた
ものか、	聞いた
人のを	見ると
眼鏡越に	見ながら、
大家アンドレア・デル・サルトが	言った
画を	かくなら
天に	あり
地に	あり
禽	あり
獣	あり
池に	あり
枯木に	あり
君も	かこうと
「へえアンドレア・デル・サルトが	いった
その通りだ」と	感心している
裏には	見えた
翌日	やっている
眼が	覚めて
吾輩は	禁じ得なかった
彼は	写生しつつあるのである
吾輩は	寝た
欠伸が	したくて
主人が	執っているのを
彼は	彩っている
吾輩は	自白する
毛並と	いい顔の
吾輩でも、	思われない
第一色が	違う
吾輩は	有している
これだけは	思う
彩色を	見ると、
色であると	いうより
これは	写生したのだから
吾輩は	思った
熱心には	感服せざるを得ない
さっきから	うしている
筋肉は	むずむずする
一分も	出来ぬ
壊わしたのだから、	這い出した
主人は	怒鳴った
人を	罵る
ほかに	知らないのだから
それも	受けるが、
ものは	増長している
ものが	出て来て
　我儘も	我慢するが
裏に	ある
瀟洒と	した
小供が	騒いで
二時頃であったが、	運ばした
木の根を	嗅ぎながら、
彼は	眠っている
庭内に	睡られる
午を	過ぎたる
彼は	有している
倍は	ある
吾輩は	落ちた
大王は	開いた
今でも	記憶している
眼は	輝いていた
彼は	しない
奥から	射るごとき
大王に	しては
挨拶を	しないと
平気を	装って
時	おった
大に	軽蔑せる
猫が	聞いて
全てえ	住んでるんだ」
「吾輩は	いるのだ」
いやに	瘠せてるじゃねえか」と
言葉付から	察すると
膏	切って
吾輩は	聞かざるを得なかった
近辺で	知らぬ
誰も	交際しない
的に	なっている
吾輩は	起すと同時に、
吾輩は	見た
極って	いらあな
主人を	見ねえ、
車屋に	いると
「何に	しねえつもりだ
御めえなんかも	廻っていねえで、
一と	たたねえ
事に	しよう
家は	思われる」
うちなんか	たって
彼は	立ち去った
吾輩が	なったのは
　その後	邂逅する
毎に	吐く
先に	したという
例のごとく	質問した
「御めえは	ある」
事実は	行かないから、
黒は	笑った
黒は	あって、
吾輩は	定めた
「君などは	とったろう」と
彼は	吶喊して来た
三四十は	とったろう」とは
彼は	合わねえ
いたちに	向って
黒は	云う
亭主が	持って
こん畜生って	追っかけて
御めえいざってえ段に	なると
いたちを	見ると
吾輩も	する
景気を	付けてやろうと
君は	呈出した
彼は	いう
「考げ	えると
鼠を	とったって——
人の	とった
交番じゃ	捕ったか
亭主なんか	儲けて
泥棒だぜ」さすが	わかると
吾輩は	帰った
時から	決心した
子分に	なって
御馳走を	食うよりも
家に	いると
要心しないと	なるかも知れない
　教師と	いえば
人に	始めて
人は	している
女に	好かれる
元来放蕩家を	いう
放蕩家をもって	自任する
これらは	余儀なくされないのに
水彩画に	於けるがごとき
通人だと	思って
酒を	飲んだり
　通人論は	首肯しかねる
妻君を	羨しいなどという
主人は	抜けない
中二日	置いて
昨夜は	ならんと
額に	なった
これなら	眺め暮らしていると、
　主人は	背負ってあるいていると
所	なれない
　主人が	見た
彼は	切った
主人は	分るようだ
西洋では	しから
アンドレア・デル・サルトだ」と	出さないで、また
美学者は	掻く
「何が」と	気がつかない
君の	感服している
僕の	捏造した
君が	信じようとは
吾輩は	想像せざるを得なかった
事を	吹き散らして
彼は	饒舌った
冗談を	言うと
せんだって	ある
約百名ばかりであったが、	おった
話が	ある
せんだって	いる
女主人公が	死ぬ
僕は	知った」
出鱈目を	いって
美学者は	動じない
「なに	云うばかりさ」と
美学者は	掛けているが
主人は	している
美学者は	あるそうだ
なるほど雪隠などに	這入って
君	注意して
語じゃないか、	いいそうな
彼は	せぬようだ
黒は	なった
光沢	ある
眼には	たまっている
注意を	惹いたのは
吾輩が	逢った
間に	綴った
椽側に	傾いて
　主人は	行く
書斎へ	立て籠る
人が	来ると、
水彩画も	かかない
タカジヤスターゼも	やめてしまった
小供は	かよう
唱歌を	歌って、
吾輩は	食わないから
鼠は	取らない
名前は	つけてくれないが、
吾輩は	有名になったので、
元朝	来た
年始状であるが、	書いてある
書斎で	眺めたりして、
ものだから、	見たりしている
からだを	拗じ向けたり、
膝が	揺れて
事で	劇しくなくなったと
主人は	感服したが、
絵端書かと	思いながら、
主人のように	極め込んだ
誰が	見たって
眼識の	ある
事を	分らずに
出来る事なら	知らしてやりたい
吾輩であると	云う
言語を	解し得る
読者に	断っておきたいが、
糟から	出来て、
猫だって、	出来ぬ
特色などはないようであるが、	出来るのである
足並でも、	違う
張り具合から	至るまで
数を	悉くして
そのように	存しているにもかかわらず、
同類相	求むとは
人間が	発達したって
彼等が	信じているごとく
主人のごときは、	解すると
牡蠣のごとく	吸い付いて、
自分だけは	達観したような
証拠には	あるのに
吾輩が	考えていると、
活版で	行列して
一疋は	躍っている
その上に	認められてある
これは	来たので
吾輩が	有名になったのを
　ところへ	持ってくる
恭賀新年と	かいて、
主人でも	あれば
眼付が	思われた
今まで	認められなかった
　おりから	鳴る
来客なら	出る
吾輩は	極めているのだから、
主人は	見る
何でも	受けて
人間も	偏屈になれば
そんなら	すればよいのに
根性を	あらわしている
下女が	来て
旧門下生であったそうだが、	話しである
訳か、	来る
自分を	いる
人間を	求めて、
御無沙汰を	しました
暮から	活動している
方角へ	向く
羽織は	はみ出している
「エヘヘヘ少し	違った
今日は	欠けている
「君歯を	どうかしたかね」と
所で	食いましてね」
椎茸を	食ったんで
傘を	噛み切ろうとしたら
俳句には	なるかも知れないが、
例のですか、	肥ってるじゃありませんか、それなら
「近頃大分	大きくなったのさ」と
「一昨夜も	やりましてね」と
「どこで」	ならんでもよいでしょう
ヴァイオリンも	なると
二人は	まじりましたが、
主人は	惚れる
勘定を	して
男が	送っているかと
人は	云うし、
どっちに	したって
女連れを	尋ねた
寒月君は	食い切った
吾輩はまた	せぬかと
二人とも	去る
「ナール」と	引張ったが
寒月君は	見る
主人は	立つ
紋付羽織に、	着た
所々が	薄くなって
ときは	出る
ほかに	着る
これだけは	思われない
両人が	出て
猫か、	あると
一切くらい	頂戴したって
人目を	忍んで
御三などは	失敬している
仕付を	受けつつあると
ことであったが、	着いた
毎朝主人の	食う
いつものように	分配してくれる
小さいのが	した
少らく両人は	睨み合っていたが、
小さいのも	した
姉がまた	すくった
妹も	負けずに
姉が	とる
間に	重なって、
ところを	見ると、
うちに	甞めてしまえばいいにと
　寒月君と	出掛けた
上から	拝見していると、
何でも	七切食って、
他人が	すると、
妻君が	出して
ものには	あるそうですから、
駄目だよ」と	出る
「あなたは	厭きっぽい」と
薬が	利かんのだ」
功能の	ある
ご覧に	ならないと、
